的,10794
是,2710
了,2314
在,1631
有,1280
人,1155
我,986
就,892
和,891
他,873
你,833
也,776
都,751
不,750
要,719
一个,693
自己,676
会,654
对,621
到,583
很,577
什么,567
我们,548
中,547
可以,519
上,509
第,475
题,475
能,459
说,454
这,452
它,446
时,437
与,422
部分,398
没有,395
做,383
多,369
把,364
地,364
更,364
而,349
男,343
好,337
让,334
人们,327
被,316
为,300
一种,294
就是,290
但,283
来,283
中国,283
去,278
工作,277
根据,276
着,275
女,268
请,267
最,266
这个,263
给,259
正确,257
后,256
孩子,252
他们,251
如果,245
从,245
您,245
别人,238
一,232
主要,228
时间,226
还,225
开始,224
又,218
需要,215
等,215
并,215
现在,214
因为,214
得,207
想,206
生活,205
里,205
很多,204
分钟,199
使,196
时候,192
关于,191
这样,190
所以,189
可能,186
不是,186
将,185
知道,183
她,180
用,179
大,178
认为,174
喜欢,173
非常,171
比,171
下列,166
下面,164
不能,164
阅读,161
这种,161
过,159
那,159
发现,158
哪项,156
看,154
所,154
不同,154
选出,150
呢,149
影响,149
当,149
却,147
应该,146
觉得,146
听力,145
以,144
考试,141
才,140
这些,139
为什么,136
大家,134
高,134
或,133
小,133
只,132
们,132
重要,132
上文,132
一定,131
可,129
吃,129
怎样,129
问题,128
许多,128
出,127
再,126
事情,126
容易,126
下,125
一样,123
答案,123
一些,121
成为,121
像,120
没,120
吗,120
新,118
不要,118
不会,117
出现,117
它们,116
文化,116
发展,113
听,112
个,112
第一,111
东西,110
父亲,110
电影,110
已经,110
作品,109
历史,108
人类,107
比较,106
起来,106
儿子,106
看到,105
第二,105
年,104
第三,104
其实,103
于,103
世界,103
六级,101
得到,101
只有,99
写,98
方式,98
能力,98
还是,97
选择,96
朋友,95
向,95
那么,94
一般,93
但是,93
跟,91
而且,91
产生,91
研究,90
作用,90
一段话,90
北京,90
注意,89
成功,89
这段话,89
为了,88
其,88
环境,88
人生,87
如何,87
告诉,87
希望,86
往往,85
适合,85
能够,84
过程,84
怎么,84
形成,84
身体,84
段,83
作为,82
则,82
提高,82
结果,82
甚至,81
有人,80
帮助,80
变化,79
才能,79
指,79
机会,78
出来,78
一项,77
因此,77
事,77
由于,76
艺术,76
决定,75
具有,75
很大,75
三,74
一次,74
由,74
一直,74
获得,74
参加,73
活动,73
然后,73
老人,73
改变,72
而是,72
之,72
公司,72
二,72
对方,72
那些,71
妻子,71
压力,71
快乐,71
学习,70
社会,69
要求,69
意思,69
于是,69
一天,68
一位,68
通过,68
前,68
变得,68
采访,68
经验,68
书写,67
走,67
只要,67
越,67
技术,67
老师,67
丰富,67
带来,66
每个,66
同时,66
总是,66
感觉,66
心理,66
还有,65
内容,65
最大,65
经常,65
谈,65
较,65
流行,65
成,64
找,64
作家,64
只是,64
父母,64
十分,64
情绪,63
有些,63
情况,63
存在,63
便,63
吧,62
表现,62
的话,62
国家,62
特点,62
说话,61
内,61
进行,61
自然,61
对于,61
钱,61
生命,61
材料,60
音乐,60
欢迎,60
睡眠,60
方面,60
约,60
植物,60
因,59
后来,59
心情,59
虽然,59
今天,59
一起,59
左右,58
谁,58
接受,58
温度,58
市场,57
那个,57
故事,57
之间,57
任何,57
健康,57
受到,57
特别,57
关系,56
简单,56
地方,56
动物,56
一件,55
或者,55
问,55
传统,55
每,55
标题,54
不仅,54
努力,54
达到,54
无法,54
一段,54
叫,54
生长,54
地球,54
其中,54
医生,54
所有,53
原因,53
不断,53
最好,53
两个,53
年轻,53
使用,53
感到,52
学会,52
必须,52
保持,52
困难,52
方法,52
空气,52
颜色,52
记录,51
发生,51
太,51
目标,51
如,51
买,51
低,51
这么,50
起,50
已,50
状态,50
条件,50
来说,50
小时,50
结束,50
称为,50
间,49
这是,49
著名,49
运动,49
每天,49
最后,49
游泳,49
当时,49
思考,49
创作,49
直接,48
知识,48
另外,48
其他,48
态度,48
老,48
少,48
坚持,48
强,48
经历,48
经过,48
霜,48
价值,47
完全,47
爱,47
画,47
交流,47
实验,47
摄影,47
水平,46
魔术,46
了解,46
年轻人,46
女性,46
精神,45
观察,45
先,45
带,45
培养,45
准备,45
追求,45
速度,45
水,45
拍摄,45
之一,45
大量,45
古代,45
之后,45
学生,45
逐渐,45
需,44
是因为,44
从而,44
表演,44
家,44
之前,44
创业,44
真正,44
妈妈,44
有关,43
月,43
然而,43
行为,43
填写,43
做事,43
说明,43
完美,43
幸福,43
花,43
篇文章,42
女儿,42
越来越,42
不过,42
一致,42
阳光,42
长,42
各种,42
不好,42
全部,42
多年,42
第四,42
即使,42
利用,42
观点,41
答题卡,41
轻松,41
坐,41
失败,41
年龄,41
大脑,41
训练,41
当然,41
以及,41
功能,41
拥有,41
找到,41
物体,41
现象,41
诸葛亮,41
种,41
建筑,41
目的,41
接触,41
介绍,40
食物,40
这里,40
城市,40
企业,40
缺乏,40
填空,40
以后,40
章鱼,40
提供,40
只能,40
女人,40
语言,40
飞机,40
笑,39
善于,39
博物馆,39
天气,39
变成,39
力量,39
标准,39
太阳,39
文物,38
有时,38
愿意,38
领域,38
地区,38
受,38
方向,38
反应,38
办法,38
身上,38
保护,38
很快,38
可是,38
农夫,38
如此,37
突然,37
常常,37
首先,37
充满,37
他人,37
性格,37
质量,37
重视,37
既,37
增加,37
理想,37
引起,37
认识,37
感冒,37
点心,37
过去,36
卷,36
分三,36
原来,36
看待,36
站,36
比如,36
什么样,36
话,36
几乎,36
遇到,36
避免,36
很少,36
面对,36
不到,36
表明,36
衣服,36
男人,36
科普,36
习惯,35
相信,35
曾,35
写作,35
实现,35
快,35
在于,35
森林,35
经济,35
穿,35
是否,34
自,34
节目,34
导致,34
文明,34
设计,34
色彩,34
进入,34
理解,34
人体,34
基本,34
随着,33
专家,33
多少,33
一下,33
失去,33
心态,33
同样,33
赞美,33
有助于,33
意义,33
感受,33
对象,33
怎么样,33
下来,33
控制,33
聪明,33
家庭,33
含,33
孔子,33
有着,33
放弃,33
思维,33
想法,33
正是,33
看法,33
眼睛,33
造成,33
减少,33
不够,32
效果,32
更好,32
一点,32
来到,32
及时,32
投资,32
兴趣,32
鱼,32
形式,32
讲,32
通常,32
演员,32
道理,32
点,32
痛苦,32
丈夫,32
病人,32
也许,31
地说,31
观众,31
创造,31
事业,31
除了,31
合作,31
解决,31
本身,31
靠,31
教育,31
一旦,31
产品,31
缺少,31
喝,31
空间,31
司机,31
科学家,31
生存,31
导演,31
美丽,31
一切,30
另,30
船,30
三个,30
因素,30
做出,30
从事,30
未来,30
沟通,30
长期,30
回答,30
意识,30
掌握,30
尊重,30
职场,30
放松,30
旅游,30
程度,30
好像,30
周围,30
管理,30
技巧,30
风格,30
字,30
米,30
终于,30
数量,30
创意,30
关注,29
并非,29
完,29
大学,29
做到,29
这次,29
哪,29
懂得,29
几个,29
以前,29
一点儿,29
很难,29
心灵,29
读者,29
不少,29
作者,29
更加,29
跑,29
有效,29
一只,29
发明,29
声音,29
婴儿,29
一边,29
发光,29
保存,28
收藏,28
一张,28
反而,28
安全,28
肯定,28
代表,28
及,28
距离,28
考虑,28
项目,28
儿童,28
生气,28
帮,28
